year,month,day,hour,latitude,longitude,DEM,TP,DT,tas,RH,WbT,WS,EPT,T400,T500,T650,T700,T750,T800,T850,T900,T950,T975,400RH,500RH,650RH,700RH,750RH,800RH,850RH,900RH,950RH,975RH,400VV,500VV,650VV,700VV,750VV,800VV,850VV,900VV,950VV,975VV,FR,name
2001,2,12,14,24.5,109.8,202.7269135,1.99526,8.2848602,9.8987976,0.896951619,9.0281346,3.847812249,22.3707681,-15.5560211,-2.5152802,5.7219025,5.6107574,5.1130005,7.4516998,8.9517609,10.1142822,7.6140533,8.1823975,1.78E-06,1.23E-06,9.23E-06,3.77E-05,7.13E-05,7.64E-05,8.20E-05,0.9223594,0.901140614,0.895844355,0.03490448,-0.098381042,-0.452523232,-0.50565815,-0.499921799,-0.489157677,-0.348227501,-0.276614189,0.406398773,0.484823227,FALSE,Southern
2018,2,21,2,25.4,118.7,46.52381134,0.600252,9.9798981,11.4573761,0.906389995,10.6227895,1.363819621,24.1343032,-21.7850708,-9.4447845,0.0470215,3.2910248,6.528421,9.0779205,10.6347748,9.4334503,9.8595215,11.2638641,6.36E-07,1.68E-06,5.21E-05,6.03E-05,7.61E-05,8.78E-05,9.27E-05,0.998025274,0.958666933,0.939659872,-0.083580971,0.043271065,-0.001144409,-0.263870239,-0.29582119,-0.097724915,-0.026268959,0.224403381,0.226516724,0.142719269,FALSE,Southeastern
2014,2,8,20,26.4,107.5,897.4640503,2.990841,-4.6155609,-2.7559875,0.870191884,-0.55,3.822124044,13.4433456,-14.3405365,-9.0769409,-2.3400482,-0.0452484,0.3358551,-1.2806,-5.9005493,-2.8255676,-0.1266388,1.2677399,0.044863911,0.204597788,0.895695438,0.981510811,1.018327856,0.951279564,0.936959848,0.907390957,0.900013018,0.895749893,0.128713608,-0.094060898,-0.073564529,0.047880173,0.109410286,0.049881935,-0.070915222,-0.198719025,-0.140942574,-0.146912575,TRUE,Southwestern
2005,12,10,8,30.3,118.1,203.0095062,0.906858,5.16604,8.1543518,0.814394635,6.6600634,1.864378711,15.7360523,-24.8351959,-13.8867706,-6.2356171,-3.1138214,-0.5974182,1.3522125,2.6193024,3.148645,5.6558167,7.4040466,2.04E-06,3.73E-06,3.38E-05,3.89E-05,4.22E-05,5.10E-05,5.08E-05,0.818543291,0.876426964,0.79368227,-0.164792061,0.081525803,0.104935646,0.231264114,0.184951782,0.205012321,0.261156082,0.231882095,0.011345863,-0.071992874,FALSE,Southeastern
2012,12,20,2,27.8,98.7,3724.192627,0.863034,-1.0036072,0.0632874,0.925269126,-0.4456098,0.49587397,22.3419706,-19.181189,-12.5460114,-4.4460205,-0.7113556,2.2951141,5.7014557,8.9249664,11.9991699,14.95112,16.398172,2.56E-06,1.15E-05,3.92E-05,4.77E-05,4.87E-05,4.87E-05,4.87E-05,0.957820702,0.965058273,0.962941107,0.326339722,-0.390769958,-0.557249069,-0.366678238,-0.237980843,-0.255612373,-0.2728405,-0.265597343,-0.26630497,-0.261558533,FALSE,Southwestern
2011,1,7,8,27.4,104.9,1668,0.0399,-4.7,-3.4,0.8912,-3.85,1.571189137,38.2516325,-20.4278168,-10.3454193,1.7225433,2.3381134,-0.6217102,3.8359619,7.0955444,10.2153259,13.1731354,14.5843292,0.052826815,0.04089632,0.218915997,0.510019503,0.831910849,0.648937378,0.604629984,0.597829076,0.597019655,0.597319832,0.127152443,0.211532593,0.443472862,0.404766083,-0.607163429,-0.271763802,-0.109415054,-0.125141144,-0.128108978,-0.127380371,TRUE,Southwestern
2014,1,25,20,28,105.8,769.0588379,2.182144,7.4343964,8.5035645,0.929888794,7.9158751,0.953800249,18.2713823,-18.8184113,-7.662146,-3.1435913,-1.533316,0.8797852,2.850824,5.039209,8.8288361,11.6982208,13.1163116,3.47E-06,2.50E-06,4.48E-05,4.77E-05,5.40E-05,5.78E-05,6.25E-05,0.872606964,0.886064158,0.891031828,-0.15678215,-0.24409008,-0.182324409,-0.323433876,-0.545174599,-0.549471855,-0.251801491,-0.031474113,-0.036149025,-0.030522346,FALSE,Southwestern
2000,12,10,20,30.7,93.3,4994.9375,0.482732,-29.0391602,-26.30625,0.776933513,-26.6419372,1.410954187,17.5280328,-28.8208679,-17.5943817,-9.4192871,-5.7087616,-2.1625885,1.1807648,4.3304993,7.3659607,10.2978607,11.6844269,4.13E-06,1.33E-05,7.00E-06,7.00E-06,7.00E-06,7.00E-06,7.00E-06,1.010208759,1.014819746,1.01436038,0.178884506,0.058298111,-0.03470993,-0.007627487,-0.018379211,-0.018107414,-0.012405396,-0.006299973,-0.010609627,-0.018012047,FALSE,Southwestern
2017,1,6,8,30.1,103.1,803.6253052,0.212923,5.1499115,10.7609344,0.68279017,7.7740699,1.49423067,18.3290747,-31.1608643,-18.8063873,-2.4393677,0.8684631,1.9146362,2.0764404,5.0942627,8.9508453,12.0190979,13.4359833,1.26E-06,3.35E-06,1.15E-05,2.42E-05,4.38E-05,5.59E-05,6.35E-05,0.768011236,0.731257963,0.728591185,0.08787632,0.142272949,0.256355286,0.058719635,0.033007622,-0.036580086,-0.296113968,-0.260807037,-0.224139214,-0.227339745,FALSE,Southwestern
2005,1,18,20,24.6,112.1,983.2059937,1.187566,4.9296661,7.0334412,0.864741288,5.9696998,1.244451293,19.4251934,-21.687323,-11.8200439,-2.8925385,-1.4631256,2.829248,5.1761108,6.1404358,7.2543121,7.075647,8.4476868,1.21E-06,3.14E-06,2.97E-05,4.62E-05,6.20E-05,6.85E-05,6.95E-05,0.841385479,0.878816767,0.876156101,0.207471848,0.162646294,0.144987106,0.08211422,-0.112896919,-0.171622276,0.064349174,0.129020691,-0.042656898,0.007695198,FALSE,Southern
2015,1,23,14,26.6,108,889.8757324,0.37621,9.8932587,11.5975891,0.892835617,10.6024472,3.993095778,21.5134387,-18.578833,-7.7751678,4.2855621,5.0821777,3.4697357,4.9384857,8.1335083,10.880014,13.738382,15.0989471,4.01E-07,2.44E-06,1.19E-05,3.19E-05,4.34E-05,6.73E-05,7.90E-05,0.928118277,0.915397883,0.910293884,0.023532867,0.070794106,-0.483919144,-0.344105721,0.17773819,0.425322533,0.657168388,0.522564888,0.405414581,0.409418106,FALSE,Southwestern
2017,12,27,8,44.3,85.6,518.0075073,0.256824,-5.8919891,2.050531,0.556908233,-1.0338045,4.078436127,11.3408977,-34.8164276,-23.0073151,-14.2427582,-11.4804138,-8.319754,-4.8924316,-1.5759644,0.8362061,2.8728424,4.2904144,3.44E-06,9.39E-06,1.66E-05,2.08E-05,2.49E-05,3.06E-05,3.47E-05,0.72124951,0.554380541,0.546601725,-0.380682945,-0.453384399,-1.29176712,-1.510572433,-1.146373749,-0.340400696,0.238714218,0.642564774,0.365704536,0.368095398,FALSE,Northwestern
2013,1,5,8,26.4,106.3,1247.046143,0.668156,-4.5989746,0.3366486,0.694665383,-3.71,2.929650528,18.6277212,-17.8568634,-3.8850464,6.0259033,2.2354218,-1.9758362,-5.3220734,-1.6033081,1.6120697,4.4149261,5.8061768,0.129821272,0.067221336,0.080866308,0.785434141,0.933582563,0.958012962,0.769589195,0.690351057,0.696026449,0.694136,-0.350459099,-0.153628349,0.138724327,-0.104166985,-0.250012398,-0.076130867,-0.094067574,-0.077632904,-0.059573174,-0.058839798,TRUE,Southwestern
2016,2,14,14,25.9,118.9,284.53125,8.335516,6.2313629,6.286554,0.996203278,6.2585736,1.312621938,15.0472318,-12.9512238,-4.197287,-2.1935181,1.083078,4.3815704,3.672998,1.9617859,3.503656,6.2472778,7.566507,7.74E-07,1.49E-06,3.98E-05,5.32E-05,6.82E-05,6.25E-05,5.09E-05,1.002435026,0.997991905,0.988969259,-0.04861927,0.219009399,-0.01502037,-0.10315609,-0.382741928,-0.222098351,-0.292612076,-0.664593697,-0.18298912,-0.057181358,FALSE,Southeastern
